,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,European Nationality,Height (cm),Weight(lbs),League
119,Cory Higgins,FCB,23.0,26.6,12.4,4.3,9.5,0.454,1.3,3.3,0.4,2.5,3.1,0.817,0.5,1.6,2.1,2.7,0.7,0.1,1.8,2.0,2020.0,False,196.0,82.0,Euroleague
120,Alexey Shved,KHI,23.0,32.5,19.8,6.4,16.6,0.386,3.1,9.4,0.333,3.9,4.3,0.899,0.5,3.1,3.7,7.7,1.3,0.4,4.3,2.0,2021.0,True,198.0,85.0,Euroleague
121,Mike James,CSKA,27.0,31.2,19.3,6.2,14.4,0.43,2.6,7.3,0.354,4.4,5.4,0.814,0.6,2.6,3.1,5.7,1.0,0.1,2.9,1.6,2021.0,False,185.0,86.0,Euroleague
122,Jordan Loyd,ZVE,29.0,27.3,17.3,5.7,13.5,0.425,1.9,6.1,0.311,4.0,4.4,0.906,0.7,2.9,3.6,3.2,1.2,0.2,2.3,2.9,2021.0,True,193.0,95.0,Euroleague
123,Vasilje Micic,EFE,40.0,30.0,16.7,5.6,11.4,0.489,1.9,4.8,0.389,3.7,4.3,0.865,0.4,2.2,2.6,4.9,1.2,0.0,3.1,2.7,2021.0,True,196.0,91.0,Euroleague
124,Nemanja Nedovic,PAN,25.0,26.1,16.0,5.2,12.2,0.425,2.7,7.2,0.37,2.8,3.4,0.835,0.4,1.5,1.9,3.7,0.7,0.2,1.9,2.4,2021.0,True,191.0,87.0,Euroleague
125,Nando De Colo,FEN,32.0,27.5,15.8,5.5,10.7,0.513,1.6,4.0,0.403,3.2,3.4,0.936,0.4,2.8,3.3,3.9,1.4,0.0,3.1,2.1,2021.0,True,196.0,88.0,Euroleague
126,Jordan Mickey,KHI,28.0,28.9,15.6,6.2,12.0,0.516,0.6,2.5,0.239,2.6,3.4,0.777,1.1,4.7,5.8,0.9,1.1,1.5,2.0,2.5,2021.0,False,203.0,107.0,Euroleague
127,Nikola Mirotic,FCB,33.0,25.9,15.6,5.3,10.0,0.533,1.4,3.3,0.413,3.5,4.2,0.848,1.8,4.1,5.9,1.0,1.1,0.5,1.6,1.9,2021.0,True,208.0,113.0,Euroleague
128,Wade Baldwin IV,BAY,39.0,27.3,15.3,5.8,13.2,0.437,0.9,3.3,0.285,2.8,3.6,0.761,0.4,2.7,3.0,4.0,1.1,0.3,2.8,3.1,2021.0,False,193.0,100.0,Euroleague
129,Shane Larkin,EFE,35.0,28.6,15.1,4.5,10.3,0.436,2.5,6.3,0.392,3.6,4.1,0.862,0.4,1.9,2.3,4.1,1.2,0.1,2.1,1.1,2021.0,True,180.0,79.0,Euroleague
130,Kevin Punter,MIL,36.0,24.7,14.3,4.7,10.4,0.453,1.8,4.6,0.392,3.1,3.4,0.894,0.2,1.4,1.6,1.4,0.8,0.1,1.1,2.1,2021.0,False,188.0,86.0,Euroleague
131,Will Clyburn,CSKA,31.0,26.3,14.0,4.5,9.9,0.454,1.5,4.2,0.364,3.5,4.4,0.796,0.9,2.8,3.8,1.5,0.8,0.2,1.6,1.9,2021.0,False,198.0,95.0,Euroleague
132,Scottie Wilbekin,MAC,34.0,27.1,13.8,4.4,11.3,0.384,2.4,7.2,0.328,2.6,3.0,0.891,0.3,2.2,2.5,3.9,1.1,0.0,2.4,1.4,2021.0,True,188.0,80.0,Euroleague
133,Shavon Shields,MIL,36.0,26.8,13.8,5.0,9.8,0.511,1.5,3.5,0.432,2.3,2.8,0.838,0.8,3.3,4.0,1.4,1.1,0.2,1.3,1.8,2021.0,True,201.0,102.0,Euroleague
134,Norris Cole,LYV,30.0,26.3,13.7,5.0,11.8,0.428,1.4,4.1,0.35,2.2,2.5,0.88,0.2,1.7,1.9,3.6,0.8,0.1,2.4,2.8,2021.0,False,188.0,79.0,Euroleague
135,Vladimir Lucic,BAY,31.0,31.1,13.6,3.9,7.7,0.504,1.9,4.4,0.441,3.9,4.5,0.864,0.7,4.2,4.8,1.4,1.1,0.1,1.2,2.5,2021.0,True,203.0,91.0,Euroleague
136,Jalen Reynolds,BAY,39.0,21.1,13.6,5.8,9.7,0.596,0.1,0.2,0.5,1.9,2.2,0.872,2.1,3.7,5.8,1.1,1.1,0.5,2.0,2.6,2021.0,False,208.0,108.0,Euroleague
137,Kevin Pangos,ZEN,39.0,29.0,13.5,4.7,10.5,0.449,2.3,5.8,0.39,1.8,2.2,0.845,0.3,1.8,2.1,6.7,0.7,0.0,2.9,2.3,2021.0,True,188.0,84.0,Euroleague
138,Marius Grigonis,ZAL,34.0,27.6,13.4,4.4,9.2,0.478,2.1,4.6,0.456,2.5,2.6,0.944,0.5,1.6,2.1,3.3,0.8,0.1,2.3,2.5,2021.0,True,198.0,88.0,Euroleague
139,Cory Higgins,FCB,39.0,26.6,13.1,4.4,9.5,0.465,1.0,2.7,0.371,3.3,3.5,0.934,0.4,1.8,2.2,2.4,1.1,0.3,1.8,1.7,2021.0,False,196.0,82.0,Euroleague
140,Randy Culpepper,OKT,13.0,30.5,19.2,6.9,14.6,0.474,2.4,6.8,0.352,2.9,3.5,0.826,0.4,2.1,2.5,2.7,0.8,0.0,2.3,2.8,2015.0,False,183.0,74.0,Eurocup
141,Damian Kulig,TUR,8.0,28.3,18.9,6.8,12.4,0.545,2.1,4.8,0.447,3.3,4.3,0.765,2.9,4.4,7.3,2.0,1.0,0.8,1.8,3.1,2015.0,True,206.0,109.0,Eurocup
142,Milan Macvan,PAR,6.0,28.7,18.0,7.0,11.5,0.609,0.8,2.5,0.333,3.2,3.3,0.95,2.7,6.0,8.7,3.8,0.2,0.7,1.7,2.0,2015.0,True,206.0,120.0,Eurocup
143,Keith Langford,UNI,9.0,29.6,17.8,6.0,12.3,0.486,1.6,3.9,0.4,4.2,5.4,0.776,0.9,2.6,3.4,2.4,0.4,0.4,1.4,2.0,2015.0,False,193.0,92.0,Eurocup
144,Bracey Wright,HAPJ,9.0,31.9,17.6,5.8,11.9,0.486,1.9,4.1,0.459,4.1,4.7,0.881,1.0,2.3,3.3,3.1,0.4,0.2,2.4,1.9,2015.0,False,191.0,95.0,Eurocup
145,J.P. Prince,OOS,16.0,23.5,17.1,5.7,11.4,0.497,1.3,3.2,0.392,4.5,5.6,0.809,0.9,1.4,2.3,2.9,1.3,0.4,2.0,2.3,2015.0,False,203.0,93.0,Eurocup
146,Tyrese Rice,KHI,24.0,29.4,17.0,6.0,12.2,0.493,2.0,5.0,0.388,3.0,3.5,0.857,0.2,2.1,2.3,5.5,0.8,0.0,3.0,1.9,2015.0,True,185.0,86.0,Eurocup
147,Ali Muhammed,PIN,20.0,33.6,16.8,5.6,12.9,0.43,3.1,7.8,0.397,2.5,2.9,0.845,1.0,2.9,3.9,5.2,2.0,0.1,2.7,2.3,2015.0,True,178.0,73.0,Eurocup
148,David Logan,SAS,6.0,29.3,16.5,6.0,13.3,0.45,2.3,7.0,0.333,2.2,3.0,0.722,1.2,2.0,3.2,2.7,1.7,0.0,2.3,2.0,2015.0,True,185.0,77.0,Eurocup
149,Mardy Collins,TUR,8.0,33.6,16.3,6.1,15.5,0.395,1.9,6.9,0.273,2.1,3.0,0.708,0.9,6.3,7.1,6.3,2.3,0.3,3.1,2.1,2015.0,False,198.0,100.0,Eurocup
150,Rakim Sanders,SAS,5.0,27.2,16.2,6.0,12.8,0.469,2.4,5.4,0.444,1.8,3.0,0.6,1.2,1.6,2.8,0.8,1.6,0.2,1.6,2.2,2015.0,False,196.0,103.0,Eurocup
151,Gerald Robinson,RIG,10.0,30.7,16.1,6.1,13.1,0.466,2.3,5.5,0.418,1.6,2.3,0.696,0.6,3.2,3.8,3.3,2.0,0.0,3.4,2.6,2015.0,False,185.0,80.0,Eurocup
152,Chris Lofton,BES,15.0,28.4,15.9,5.3,12.7,0.421,3.3,8.7,0.377,1.9,2.1,0.906,0.7,1.9,2.6,2.9,1.1,0.1,1.7,1.5,2015.0,False,188.0,88.0,Eurocup
153,Darius Johnson-Odom,CAN,18.0,30.7,15.7,5.3,11.2,0.478,1.6,4.6,0.354,3.4,4.6,0.756,0.1,3.0,3.1,3.4,0.7,0.1,2.9,2.4,2015.0,False,188.0,100.0,Eurocup
154,Derrick Brown,LOK,18.0,27.7,15.4,6.2,10.3,0.605,0.5,1.1,0.45,2.5,3.5,0.714,1.4,3.8,5.2,2.8,0.9,0.6,2.1,1.5,2015.0,False,201.0,102.0,Eurocup
155,Sharrod Ford,PLV,20.0,26.3,15.0,6.5,10.8,0.602,0.0,0.3,0.0,2.0,3.7,0.548,3.0,5.9,8.9,0.6,0.6,1.0,1.7,3.3,2015.0,False,206.0,110.0,Eurocup
156,Walter Hodge,ZEN,18.0,31.2,14.8,4.3,11.1,0.392,1.7,4.3,0.39,4.4,4.7,0.929,0.1,1.7,1.8,6.3,1.7,0.1,3.6,2.8,2015.0,True,183.0,77.0,Eurocup
157,Bojan Dubljevic,VAL,10.0,24.2,14.8,5.2,9.5,0.547,1.3,2.5,0.52,3.1,3.8,0.816,1.6,4.4,6.0,1.2,0.8,0.2,1.6,2.1,2015.0,True,206.0,110.0,Eurocup
158,Gediminas Orelik,LIE,18.0,28.9,14.8,5.1,9.7,0.523,2.1,5.2,0.404,2.6,3.2,0.793,0.8,3.6,4.4,2.3,0.9,0.1,2.2,2.0,2015.0,True,198.0,105.0,Eurocup
159,Darius Washington,NYM,12.0,28.3,14.6,5.0,11.9,0.42,1.3,4.4,0.283,3.3,4.5,0.741,1.3,3.0,4.3,5.0,1.4,0.0,2.4,1.3,2015.0,True,188.0,89.0,Eurocup
160,Loukas Mavrokefalidis,ATH,9.0,33.7,24.2,8.0,15.7,0.511,1.6,3.7,0.424,6.7,7.8,0.857,2.9,6.8,9.7,2.8,1.2,0.4,2.7,2.4,2016.0,True,208.0,118.0,Eurocup
161,Billy Baron,SPI,10.0,32.8,20.7,7.0,15.7,0.446,3.4,7.4,0.459,3.3,3.9,0.846,0.5,3.1,3.6,4.2,0.7,0.0,2.9,2.4,2016.0,False,188.0,88.0,Eurocup
162,Keith Langford,UNI,16.0,32.4,19.7,7.0,14.8,0.475,1.0,4.1,0.246,4.7,6.0,0.781,0.3,4.1,4.4,2.4,0.8,0.4,2.0,1.8,2016.0,False,193.0,92.0,Eurocup
163,Ryan Toolson,ZEN,15.0,28.0,18.5,6.3,12.5,0.508,3.3,6.3,0.516,2.6,2.7,0.951,0.2,2.3,2.5,3.2,0.3,0.0,2.1,1.5,2016.0,False,193.0,86.0,Eurocup
164,Travis Peterson,AVT,16.0,30.4,18.1,6.5,13.1,0.498,2.6,6.4,0.412,2.4,2.7,0.907,1.2,5.4,6.6,2.6,0.9,0.4,2.3,2.5,2016.0,False,208.0,109.0,Eurocup
165,Errick McCollum,GAL,20.0,28.9,18.1,5.3,11.8,0.449,1.4,3.9,0.351,6.1,7.1,0.865,1.1,3.3,4.4,3.6,1.0,0.5,2.7,2.1,2016.0,False,188.0,77.0,Eurocup
166,Tadija Dragicevic,BUD,9.0,30.5,17.1,6.2,13.1,0.475,1.8,4.7,0.381,2.9,3.8,0.765,1.1,3.8,4.9,1.1,0.7,0.0,2.4,2.2,2016.0,True,206.0,107.0,Eurocup
167,Maciej Lampe,BES,7.0,26.5,17.0,7.0,13.4,0.521,0.9,1.6,0.545,2.1,2.6,0.833,2.1,6.6,8.7,1.1,0.4,0.6,1.3,1.6,2016.0,True,211.0,125.0,Eurocup
168,Victor Rudd,NIZ,20.0,32.9,15.8,5.8,13.6,0.423,1.8,5.4,0.324,2.5,3.4,0.746,0.6,6.1,6.7,2.2,0.8,0.6,2.3,2.4,2016.0,False,206.0,112.0,Eurocup
169,Dwight Hardy,TRA,16.0,31.9,15.8,5.2,11.3,0.461,2.4,5.9,0.415,2.9,3.4,0.87,0.2,1.3,1.4,3.3,0.8,0.1,2.4,2.5,2016.0,False,188.0,89.0,Eurocup
170,Nate Wolters,BES,10.0,31.0,15.6,6.0,13.0,0.462,0.9,3.4,0.265,2.7,3.4,0.794,0.6,3.6,4.2,5.3,1.5,0.4,2.3,2.8,2016.0,False,193.0,86.0,Eurocup
171,Dairis Bertans,BBB,16.0,25.6,15.5,5.0,9.6,0.519,3.0,6.2,0.485,2.5,2.8,0.909,0.6,1.4,2.1,1.9,0.6,0.2,0.8,2.3,2016.0,True,193.0,86.0,Eurocup
172,Jeremy Chappell,AVT,16.0,28.9,15.5,5.8,11.4,0.503,2.4,5.1,0.463,1.6,1.9,0.839,0.6,4.0,4.6,3.4,1.5,0.2,2.4,2.3,2016.0,False,191.0,83.0,Eurocup
173,Mykal Riley,N92,10.0,27.9,15.3,5.7,11.2,0.509,2.0,5.0,0.4,1.9,2.1,0.905,1.3,3.2,4.5,2.6,1.8,0.2,2.9,1.8,2016.0,False,198.0,82.0,Eurocup
174,E.J. Rowland,HAPJ,16.0,32.8,15.2,5.7,11.9,0.476,1.1,3.1,0.36,2.7,3.0,0.896,0.6,2.4,2.9,4.9,1.2,0.0,2.2,1.9,2016.0,True,191.0,93.0,Eurocup
175,Pietro Aradori,REG,15.0,29.3,15.1,5.5,11.9,0.458,1.2,3.6,0.333,3.0,3.7,0.818,0.7,3.7,4.3,2.1,0.8,0.0,2.3,1.9,2016.0,True,193.0,95.0,Eurocup
176,Davide Pascolo,TREN,22.0,28.7,15.0,6.2,10.4,0.598,0.6,1.4,0.433,2.0,2.5,0.796,2.8,3.3,6.1,1.6,0.9,0.8,1.3,1.9,2016.0,True,198.0,88.0,Eurocup
177,Tywain McKee,LEM,10.0,33.4,14.9,4.3,11.0,0.391,1.9,4.8,0.396,4.4,5.2,0.846,0.7,2.5,3.2,3.9,1.4,0.0,2.7,2.5,2016.0,False,188.0,83.0,Eurocup
178,Elmedin Kikanovic,BER,18.0,26.9,14.9,5.8,10.8,0.541,0.1,0.3,0.167,3.2,4.3,0.74,2.0,2.2,4.2,0.7,0.3,0.6,1.7,2.9,2016.0,True,208.0,109.0,Eurocup
179,Daniel Ewing,NEP,15.0,27.6,14.8,5.4,13.0,0.415,1.7,5.1,0.338,2.3,2.9,0.773,0.3,1.9,2.1,4.0,1.3,0.1,2.9,2.8,2016.0,False,191.0,84.0,Eurocup
180,Alexey Shved,KHI,14.0,31.3,22.1,7.5,16.6,0.453,3.4,9.1,0.378,3.7,5.4,0.693,0.4,3.6,4.0,5.2,1.2,0.5,3.0,1.4,2017.0,True,198.0,85.0,Eurocup
181,Elmedin Kikanovic,BER,13.0,27.9,19.6,8.2,14.0,0.582,0.2,0.3,0.5,3.2,4.0,0.788,1.5,2.3,3.8,1.0,0.4,0.1,1.8,2.2,2017.0,True,208.0,109.0,Eurocup
182,Ryan Toolson,ZEN,14.0,27.2,18.9,6.9,14.6,0.471,3.3,7.7,0.426,1.9,2.1,0.931,0.5,1.8,2.3,2.7,0.9,0.0,2.9,1.7,2017.0,False,193.0,86.0,Eurocup
183,Curtis Jerrells,HAPJ,19.0,34.4,16.8,5.8,12.2,0.481,2.7,6.1,0.44,2.5,3.2,0.783,0.2,2.8,3.0,3.7,1.3,0.1,2.2,2.2,2017.0,False,185.0,88.0,Eurocup
184,Xavier Thames,MZT,5.0,33.6,16.8,5.2,12.6,0.413,1.4,4.6,0.304,5.0,5.2,0.962,1.0,2.4,3.4,2.8,1.0,0.4,2.0,2.6,2017.0,False,191.0,85.0,Eurocup
185,DeAndre Kane,NIZ,14.0,35.2,16.8,6.4,12.4,0.514,1.1,3.2,0.333,3.0,5.5,0.545,2.3,5.4,7.6,4.3,1.5,0.4,2.6,2.3,2017.0,False,196.0,95.0,Eurocup
186,Janis Timma,ZEN,13.0,29.0,16.2,5.8,11.2,0.524,3.0,6.8,0.443,1.5,1.9,0.76,1.2,3.5,4.7,2.9,0.9,0.5,1.8,3.4,2017.0,True,201.0,103.0,Eurocup
187,Kyle Kuric,GCN,16.0,23.4,15.1,4.9,9.6,0.506,3.1,6.1,0.5,2.3,2.6,0.878,1.1,1.9,3.0,0.8,0.9,0.1,0.6,1.6,2017.0,False,193.0,88.0,Eurocup
188,Raymar Morgan,RUL,14.0,22.1,14.4,5.3,9.6,0.552,0.3,0.6,0.5,3.6,4.6,0.769,1.4,2.8,4.1,1.4,1.3,0.1,1.5,3.9,2017.0,True,203.0,111.0,Eurocup
189,Ben Madgen,TEC,14.0,27.6,13.7,4.6,9.6,0.481,2.2,4.6,0.484,2.2,2.6,0.861,0.6,2.8,3.4,2.0,0.6,0.1,2.0,2.1,2017.0,True,193.0,83.0,Eurocup
190,Arturas Gudaitis,LIE,9.0,25.4,13.2,4.1,7.9,0.521,0.0,0.1,0.0,5.0,7.1,0.703,3.4,4.9,8.3,0.9,0.6,1.9,1.8,3.1,2017.0,True,208.0,115.0,Eurocup
191,Kenny Boynton,NIZ,14.0,30.1,13.2,4.8,11.1,0.429,2.4,6.6,0.355,1.3,1.8,0.72,0.1,2.2,2.4,2.9,0.6,0.1,2.4,1.4,2017.0,False,188.0,86.0,Eurocup
192,Facundo Campazzo,MUR,13.0,30.2,13.2,4.2,11.5,0.367,2.1,6.5,0.318,2.6,3.5,0.739,0.3,2.4,2.7,6.7,2.2,0.2,3.5,2.5,2017.0,True,180.0,75.0,Eurocup
193,Ivan Buva,BBB,7.0,19.6,13.1,5.6,9.1,0.609,0.6,1.3,0.444,1.4,1.9,0.769,2.3,2.1,4.4,1.0,0.4,0.1,1.3,2.1,2017.0,True,203.0,98.0,Eurocup
194,Billy Baron,MUR,14.0,25.4,13.0,4.4,11.1,0.4,2.0,5.9,0.341,2.1,2.4,0.909,0.5,1.7,2.2,2.3,0.7,0.0,1.2,1.7,2017.0,False,188.0,88.0,Eurocup
195,Dragan Milosavljevic,BER,14.0,29.1,12.9,4.6,8.7,0.533,1.8,3.3,0.543,1.8,2.3,0.781,0.8,1.9,2.7,3.6,1.0,0.1,2.0,2.6,2017.0,True,196.0,91.0,Eurocup
196,Amar'e Stoudemire,HAPJ,19.0,25.8,12.8,4.6,7.5,0.62,0.3,0.6,0.545,3.3,4.8,0.681,1.9,4.7,6.6,0.4,0.5,1.2,2.7,3.4,2017.0,False,208.0,111.0,Eurocup
197,Sergey Karasev,ZEN,11.0,25.6,12.8,4.0,10.3,0.389,1.4,4.8,0.283,3.5,4.5,0.76,0.6,2.2,2.8,2.2,0.7,0.4,2.5,2.6,2017.0,True,201.0,97.0,Eurocup
198,Miro Bilan,CED,14.0,23.1,12.8,5.1,8.1,0.632,0.0,0.0,0.0,2.5,3.2,0.778,2.6,3.6,6.2,1.9,0.2,0.2,1.9,2.9,2017.0,True,211.0,111.0,Eurocup
199,Boris Savovic,BUD,6.0,29.5,12.7,4.2,10.7,0.391,2.2,5.0,0.433,2.2,2.8,0.765,0.7,4.7,5.3,1.0,0.3,0.3,1.7,2.7,2017.0,True,206.0,105.0,Eurocup
200,Scottie Wilbekin,DBI,18.0,31.9,19.7,6.2,13.8,0.452,3.4,8.1,0.428,3.8,4.6,0.829,0.4,2.1,2.4,4.8,1.6,0.0,1.8,1.8,2018.0,True,188.0,80.0,Eurocup
201,Amedeo Della Valle,REG,19.0,30.0,17.5,4.9,11.6,0.427,1.4,4.6,0.307,6.2,7.2,0.868,0.3,2.9,3.2,3.1,1.4,0.2,2.3,1.6,2018.0,True,196.0,86.0,Eurocup
202,Nigel Williams-Goss,PAR,9.0,30.2,17.0,6.3,12.9,0.491,1.8,3.6,0.5,2.6,3.0,0.852,0.7,2.1,2.8,6.3,1.6,0.0,2.9,1.0,2018.0,False,191.0,86.0,Eurocup
203,Patrick Miller,PAR,10.0,26.3,16.4,5.5,11.5,0.478,0.5,2.3,0.217,4.9,5.7,0.86,0.6,1.6,2.2,3.7,0.6,0.0,2.7,2.1,2018.0,False,185.0,91.0,Eurocup
204,Lamar Patterson,TOR,16.0,29.6,16.3,5.4,11.8,0.46,1.2,3.9,0.306,4.3,5.9,0.723,0.9,4.3,5.3,2.9,1.4,0.2,3.1,3.0,2018.0,False,196.0,102.0,Eurocup
205,John Roberson,LYV,16.0,27.1,15.8,4.9,9.9,0.5,3.5,6.8,0.514,2.4,2.6,0.929,0.2,1.6,1.8,4.1,1.1,0.0,2.0,2.6,2018.0,True,180.0,76.0,Eurocup
206,Jerome Dyson,HAPJ,10.0,31.3,15.7,4.8,10.9,0.44,2.0,5.2,0.385,4.1,5.2,0.788,0.5,2.8,3.3,4.1,1.7,0.0,2.8,3.1,2018.0,False,191.0,82.0,Eurocup
207,Klemen Prepelic,PLV,9.0,27.0,15.7,4.3,10.7,0.406,2.4,6.2,0.393,4.6,5.4,0.837,0.2,1.6,1.8,1.8,0.3,0.0,2.8,2.6,2018.0,True,191.0,77.0,Eurocup
208,Raymar Morgan,TOF,10.0,30.1,15.6,6.2,12.0,0.517,0.5,1.9,0.263,2.7,4.0,0.675,1.5,3.4,4.9,1.7,0.5,0.4,2.0,3.0,2018.0,True,203.0,111.0,Eurocup
209,Dominique Sutton,TREN,15.0,28.4,15.5,6.1,10.9,0.558,0.6,2.2,0.273,2.8,5.1,0.553,2.1,4.3,6.3,2.3,1.2,0.5,2.2,3.1,2018.0,False,196.0,96.0,Eurocup
210,Sergey Karasev,ZEN,18.0,28.4,15.5,5.5,12.3,0.446,2.0,5.4,0.371,2.5,3.2,0.776,0.7,2.2,2.9,3.1,1.2,0.3,1.9,2.3,2018.0,True,201.0,97.0,Eurocup
211,Marcus Eriksson,GCN,14.0,24.7,15.4,5.3,10.6,0.497,3.2,5.9,0.549,1.6,1.9,0.846,0.6,1.3,1.9,1.3,0.4,0.1,1.1,1.9,2018.0,True,201.0,81.0,Eurocup
212,Kyle Kuric,ZEN,19.0,24.7,15.3,4.9,10.9,0.452,2.7,6.3,0.433,2.6,3.0,0.877,0.7,2.8,3.5,1.4,0.5,0.2,1.4,1.3,2018.0,False,193.0,88.0,Eurocup
213,Loukas Mavrokefalidis,LIE,14.0,22.8,14.9,4.9,10.4,0.466,0.9,2.0,0.429,4.3,5.0,0.857,1.9,3.3,5.2,1.6,1.1,0.4,2.1,3.3,2018.0,True,208.0,118.0,Eurocup
214,Stephane Lasme,UNI,19.0,28.2,14.6,5.6,9.9,0.564,0.2,0.3,0.6,3.3,4.6,0.724,2.1,4.3,6.4,0.6,0.7,2.5,1.6,2.8,2018.0,True,203.0,98.0,Eurocup
215,Diante Garrett,TOR,16.0,29.6,14.6,5.8,11.8,0.492,1.8,3.9,0.468,1.1,1.3,0.857,0.3,2.0,2.3,4.1,1.6,0.1,2.5,1.4,2018.0,False,193.0,86.0,Eurocup
216,Quim Colom,UNI,19.0,26.6,14.3,4.1,10.5,0.385,1.7,5.2,0.337,4.4,5.5,0.808,0.5,3.6,4.1,5.6,1.1,0.0,2.2,1.0,2018.0,True,188.0,88.0,Eurocup
217,JaJuan Johnson,DBI,21.0,31.6,13.9,5.7,11.1,0.509,0.5,1.7,0.306,2.0,2.7,0.754,1.8,4.6,6.3,1.0,0.6,1.6,1.5,2.3,2018.0,True,208.0,100.0,Eurocup
218,Devin Booker,BAY,21.0,21.6,13.6,5.0,8.3,0.598,0.2,0.5,0.4,3.5,4.0,0.859,2.0,3.3,5.3,1.5,0.7,0.5,1.6,2.7,2018.0,False,203.0,113.0,Eurocup
219,Dwight Hardy,GAL,16.0,29.1,13.5,5.1,9.4,0.54,2.1,4.8,0.447,1.3,1.6,0.769,0.3,1.1,1.3,1.9,0.6,0.0,1.3,1.8,2018.0,False,188.0,89.0,Eurocup
220,Diante Garrett,TOF,10.0,33.1,18.4,6.6,13.0,0.508,2.7,6.2,0.435,2.5,3.3,0.758,0.6,2.2,2.8,6.1,0.7,0.0,2.7,1.9,2019.0,False,193.0,86.0,Eurocup
221,Sylven Landesberg,TUR,10.0,33.7,17.5,4.9,11.5,0.426,1.5,4.9,0.306,6.2,7.6,0.816,0.9,2.5,3.4,2.0,0.4,0.1,2.2,2.6,2019.0,True,198.0,94.0,Eurocup
222,Josh Bostic,PRO,10.0,29.9,16.4,5.0,12.1,0.413,3.0,7.7,0.39,3.4,3.7,0.919,0.7,2.7,3.4,3.4,1.4,0.2,2.9,2.9,2019.0,False,196.0,104.0,Eurocup
223,Nigel Hayes,GAL,10.0,29.2,15.7,5.8,11.2,0.518,1.9,4.4,0.432,2.2,2.4,0.917,1.9,3.7,5.6,1.8,1.1,0.1,1.3,2.5,2019.0,False,203.0,115.0,Eurocup
224,Vladimir Stimac,TUR,10.0,24.8,15.4,6.5,10.8,0.602,0.0,0.0,0.0,2.4,3.7,0.649,3.0,4.1,7.1,1.2,0.6,0.5,1.4,1.7,2019.0,True,211.0,113.0,Eurocup
225,Jordan Hamilton,BRE,10.0,26.6,14.9,4.6,10.8,0.426,1.6,5.1,0.314,4.1,5.3,0.774,1.6,3.7,5.3,3.1,1.2,0.3,1.9,2.3,2019.0,False,201.0,100.0,Eurocup
226,Elmedin Kikanovic,ASM,16.0,26.3,14.9,6.2,11.1,0.559,0.0,0.1,0.0,2.5,3.8,0.656,1.9,2.4,4.3,1.4,0.4,0.4,1.4,2.3,2019.0,True,208.0,109.0,Eurocup
227,Rokas Giedraitis,BER,24.0,28.0,14.8,5.1,10.5,0.486,2.3,5.5,0.421,2.3,2.7,0.846,1.4,2.6,4.0,1.4,1.6,0.3,0.8,1.7,2019.0,True,198.0,81.0,Eurocup
228,Joe Ragland,ZVE,16.0,26.9,14.8,5.6,10.0,0.556,1.1,3.0,0.354,2.6,3.4,0.759,0.3,1.7,1.9,6.0,1.3,0.0,2.9,2.2,2019.0,False,183.0,84.0,Eurocup
229,Bryon Allen,BRE,10.0,26.5,14.7,5.3,12.4,0.427,2.0,6.3,0.317,2.1,3.0,0.7,0.6,1.2,1.8,2.3,0.5,0.1,2.5,2.2,2019.0,False,191.0,92.0,Eurocup
230,Sammy Mejia,TOF,10.0,29.0,14.7,5.3,10.3,0.515,1.9,3.8,0.5,2.2,2.5,0.88,0.9,2.5,3.4,4.5,1.3,0.3,1.0,1.4,2019.0,False,198.0,86.0,Eurocup
231,Justin Cobbs,CED,16.0,27.0,14.4,5.2,10.3,0.503,0.8,1.9,0.387,3.3,4.0,0.828,0.5,1.7,2.2,5.5,1.0,0.1,3.0,1.5,2019.0,True,191.0,86.0,Eurocup
232,Patrick Miller,RUL,13.0,25.5,14.0,5.0,10.8,0.464,0.4,1.7,0.227,3.6,4.5,0.797,0.5,1.5,2.0,3.8,1.4,0.1,2.5,2.5,2019.0,False,185.0,91.0,Eurocup
233,Tyshawn Taylor,TOR,8.0,24.1,14.0,5.1,8.9,0.577,0.3,0.6,0.4,3.5,4.8,0.737,0.5,1.1,1.6,3.5,1.3,0.1,2.5,1.6,2019.0,True,191.0,84.0,Eurocup
234,Javonte Green,RUL,15.0,25.3,13.9,4.9,9.1,0.533,0.9,2.4,0.361,3.3,4.4,0.742,1.2,3.3,4.5,1.7,2.5,0.3,1.5,2.4,2019.0,True,196.0,93.0,Eurocup
235,Erik Murphy,FRA,12.0,21.7,13.8,5.1,8.5,0.598,2.1,3.3,0.641,1.6,1.9,0.826,0.8,2.5,3.3,0.8,0.4,0.9,1.1,3.4,2019.0,True,208.0,109.0,Eurocup
236,Jalen Reynolds,ZEN,16.0,24.9,13.8,5.9,10.1,0.586,0.1,0.2,0.333,1.9,2.8,0.682,2.5,5.6,8.1,0.9,1.1,0.8,1.9,3.2,2019.0,False,208.0,108.0,Eurocup
237,Kenneth Kadji,TOF,10.0,22.8,13.8,4.6,8.4,0.548,1.5,3.6,0.417,3.1,4.3,0.721,1.3,3.4,4.7,0.8,0.4,0.5,2.0,2.8,2019.0,True,211.0,110.0,Eurocup
